"State, Index, Value"
Alabama,1,4779736
Alaska,1,710231
Arizona,1,6392017
Arkansas,1,2915918
California,1,37253956
Colorado,1,5029196
Connecticut,1,3574097
Delaware,1,897934
District of Columbia,1,601723
Florida,1,18801310
Georgia,1,9687653
Hawaii,1,1360301
Idaho,1,1567582
Illinois,1,12830632
Indiana,1,6483802
Iowa,1,3046355
Kansas,1,2853118
Kentucky,1,4339367
Louisiana,1,4533372
Maine,1,1328361
Maryland,1,5773552
Massachusetts,1,6547629
Michigan,1,9883640
Minnesota,1,5303925
Mississippi,1,2967297
Missouri,1,5988927
Montana,1,989415
Nebraska,1,1826341
Nevada,1,2700551
New Hampshire,1,1316470
New Jersey,1,8791894
New Mexico,1,2059179
New York,1,19378102
North Carolina,1,9535483
North Dakota,1,672591
Ohio,1,11536504
Oklahoma,1,3751351
Oregon,1,3831074
Pennsylvania,1,12702379
Rhode Island,1,1052567
South Carolina,1,4625364
South Dakota,1,814180
Tennessee,1,6346105
Texas,1,25145561
Utah,1,2763885
Vermont,1,625741
Virginia,1,8001024
Washington,1,6724540
West Virginia,1,1852994
Wisconsin,1,5686986
Wyoming,1,563626
Puerto Rico,1,3725789
NAME,2,P0120002
Alabama,2,2320188
Alaska,2,369628
Arizona,2,3175823
Arkansas,2,1431637
California,2,18517830
Colorado,2,2520662
Connecticut,2,1739614
Delaware,2,434939
District of Columbia,2,284222
Florida,2,9189355
Georgia,2,4729171
Hawaii,2,681243
Idaho,2,785324
Illinois,2,6292276
Indiana,2,3189737
Iowa,2,1508319
Kansas,2,1415408
Kentucky,2,2134952
Louisiana,2,2219292
Maine,2,650056
Maryland,2,2791762
Massachusetts,2,3166628
Michigan,2,4848114
Minnesota,2,2632132
Mississippi,2,1441240
Missouri,2,2933477
Montana,2,496667
Nebraska,2,906296
Nevada,2,1363616
New Hampshire,2,649394
New Jersey,2,4279600
New Mexico,2,1017421
New York,2,9377147
North Carolina,2,4645492
North Dakota,2,339864
Ohio,2,5632156
Oklahoma,2,1856977
Oregon,2,1896002
Pennsylvania,2,6190363
Rhode Island,2,508400
South Carolina,2,2250101
South Dakota,2,407381
Tennessee,2,3093504
Texas,2,12472280
Utah,2,1388317
Vermont,2,308206
Virginia,2,3925983
Washington,2,3349707
West Virginia,2,913586
Wisconsin,2,2822400
Wyoming,2,287437
Puerto Rico,2,1785171
NAME,3,P0120003
Alabama,3,155265
Alaska,3,27896
Arizona,3,232562
Arkansas,3,100950
California,3,1294056
Colorado,3,176361
Connecticut,3,103475
Delaware,3,28415
District of Columbia,3,16533
Florida,3,547985
Georgia,3,350673
Hawaii,3,45019
Idaho,3,62468
Illinois,3,425893
Indiana,3,221819
Iowa,3,103401
Kansas,3,104888
Kentucky,3,144179
Louisiana,3,160136
Maine,3,35767
Maryland,3,185916
Massachusetts,3,187605
Michigan,3,304587
Minnesota,3,181342
Mississippi,3,107465
Missouri,3,199528
Montana,3,32129
Nebraska,3,67630
Nevada,3,95772
New Hampshire,3,35586
New Jersey,3,276269
New Mexico,3,74078
New York,3,590879
North Carolina,3,322871
North Dakota,3,22821
Ohio,3,367479
Oklahoma,3,134700
Oregon,3,121828
Pennsylvania,3,373216
Rhode Island,3,29396
South Carolina,3,153432
South Dakota,3,30535
Tennessee,3,208119
Texas,3,984149
Utah,3,135533
Vermont,3,16339
Virginia,3,260107
Washington,3,225088
West Virginia,3,53300
